
Rank    Country/Region  Total electricity   consumption(GW·h/yr)    Year of data    Source  Population  As of	Average electrical power per capita kWh per year	Watts
73	 Syria	14,263	2018 est.	EIA	17,070,130	2019	836	95
74	 Croatia	17,475	2019 est.	EIA	4,067,500	2019	4,296	490
75	 Jordan	17,384	2018 est.	EIA	10,101,690	2019	1,721	196
76	 Lebanon	17,708	2018 est.	EIA	6,855,710	2019	2,583	295
77	 Dominican Republic	16,067	2018 est.	EIA	10,738,960	2019	1,496	171
78	 Tunisia	15,838	2018 est.	EIA	11,694,720	2019	1,354	154
79	 Cuba	16,341	2018 est.	EIA	11,333,480	2019	1,442	164
80	 Korea, North	12,708	2018 est.	EIA	25,666,160	2019	495	56
81	 Slovenia	14,023	2019 est.	EIA	2,087,950	2019	6,716	766
82	 Turkmenistan	15,090	2018 est.	EIA	5,942,090	2019	2,540	290
83	 Tajikistan	16,085	2019 est.	EIA	9,321,020	2019	1,726	197
84	 Mozambique	13,390	2018 est.	EIA	30,366,040	2019	441	50
85	 Kyrgyzstan	11,740	2018 est.	EIA	6,456,900	2019	1,818	207
86	 Sri Lanka	13,438	2018 est.	EIA	21,803,000	2019	616	70
87	 Zambia	13,097	2018 est.	EIA	17,861,030	2019	733	84
88	 Bosnia and Herzegovina	12,253	2018 est.	EIA	3,301,000	2019	3,712	423
89	 Myanmar	18,024	2018 est.	EIA	54,045,420	2019	333	38
90	 Uruguay	11,812	2018 est.	EIA	3,461,730	2019	3,412	389
91	 Lithuania	11,306	2019 est.	EIA	2,786,840	2019	4,057	463
92	 Sudan	11,463	2018 est.	EIA	42,813,240	2019	268	31
93	 Georgia	12,179	2019 est.	EIA	3,720,380	2019	3,274	373
94	 Paraguay	13,097	2018 est.	EIA	7,044,640	2019	1,859	212
95	 Libya	25,693	2018 est.	EIA	6,777,450	2019	3,791	432
96	 Congo, Democratic Republic of the	8,594	2018 est.	EIA	96,206,539	2019	99	11
97	 Costa Rica	10,065	2018 est.	EIA	5,047,560	2019	1,994	227
98	 Ghana	8,842	2018 est.	EIA	30,417,860	2019	291	33
99	 Trinidad and Tobago	8,246	2018 est.	EIA	1,394,970	2019	5,911	674
100	 Guatemala	10,570	2018 est.	EIA	16,604,030	2019	637	73
101	 Estonia	8,858	2019 est.	EIA	1,326,590	2019	6,677	762
102	 Angola	10,364	2018 est.	EIA	31,825,290	2019	326	37
103	 Zimbabwe	7,401	2018 est.	EIA	14,645,470	2019	505	58
104	 Panama	9,258	2018 est.	EIA	4,246,440	2019	2,180	249
105	 Albania	4,849	2018 est.	EIA	2,854,190	2019	1,699	194
106	 Kenya	8,722	2018 est.	EIA	52,573,970	2019	166	19
107	 Bolivia	9,057	2019 est.	EIA	11,513,100	2019	787	90
108	 North Macedonia	7,024	2019 est.	EIA	2,083,460	2019	3,371	385
109	 Latvia	6,877	2019 est.	EIA	1,912,790	2019	3,595	410
110	 Ethiopia	8,986	2018 est.	EIA	112,078,730	2019	80	9
111	 Luxembourg	5,817	2019 est.	EIA	619,900	2019	9,383	1,070
112	 Cameroon	6,743	2018 est.	EIA	25,876,380	2019	261	30
113	 Ivory Coast	6,686	2018 est.	EIA	25,716,540	2019	260	30
114	 El Salvador	6,212	2019 est.	EIA	6,453,550	2019	963	110
115	 Mongolia	6,933	2018 est.	EIA	3,225,170	2019	2,150	245
116	 Honduras	6,696	2018 est.	EIA	9,746,120	2019	687	78
117	 West Bank	5,496	2018 est.	EIA	2,697,687	2016	1,103	126
118	 Yemen	2,653	2018 est.	EIA	29,161,920	2019	91	10
119	 Armenia	5,791	2019 est.	EIA	2,957,730	2019	1,958	223
120	 Tanzania	5,813	2018 est.	EIA	58,005,460	2019	100	11
121	 Afghanistan	6,023	2018 est.	EIA	38,041,750	2019	158	18
122	 Macau	5,378	2018 est.	EIA	640,450	2019	8,397	958
123	 Nicaragua	3,738	2018 est.	EIA	6,545,500	2019	571	65
124	 Moldova	5,957	2019 est.	EIA	2,657,640	2019	2,241	256
125	 Cambodia	8,402	2018 est.	EIA	16,486,540	2019	510	58
126	 Laos	4,059	2018 est.	EIA	7,169,450	2019	566	65
127	   Nepal	6,562	2018 est.	EIA	28,608,710	2019	229	26
128	 Cyprus	4,524	2019 est.	EIA	1,198,580	2019	3,774	431
129	 Brunei	3,555	2018 est.	EIA	433,290	2019	8,206	936
130	 Botswana	3,301	2018 est.	EIA	2,303,700	2019	1,433	163
131	 Namibia	4,184	2018 est.	EIA	2,494,530	2019	1,677	191
132	 Papua New Guinea	3,777	2018 est.	EIA	8,776,110	2019	430	49
133	 Senegal	3,842	2018 est.	EIA	16,296,360	2019	236	27
134	 Kosovo	5,715	2019 est.	EIA	1,794,250	2019	3,185	363
135	 Montenegro	2,998	2018 est.	EIA	622,140	2019	4,818	550
136	 Jamaica	3,025	2018 est.	EIA	2,948,280	2019	1,026	117
137	 Uganda	3,534	2018 est.	EIA	44,269,590	2019	80	9
138	 Mauritius	2,800	2018 est.	EIA	1,265,710	2019	2,212	252
139	 Gabon	2,230	2018 est.	EIA	2,172,580	2019	1,027	117
140	 Bhutan	2,386	2018 est.	EIA	763,090	2019	3,126	357
141	 New Caledonia	2,741	2018 est.	EIA	287,800	2019	9,524	1,086
142	 Malta	2,456	2019 est.	EIA	502,650	2019	4,886	557
143	 Suriname	1,663	2018 est.	EIA	581,360	2019	2,861	326
144	 Malawi	1,515	2018 est.	EIA	18,628,750	2019	81	9
145	 Bahamas	1,770	2018 est.	EIA	389,480	2019	4,545	518
146	 Guam	1,639	2018 est.	EIA	167,290	2019	9,797	1,118
147	 Swaziland	1,682	2018 est.	EIA	1,148,130	2019	1,465	167
148	 Mali	3,040	2018 est.	EIA	19,658,030	2019	155	18
149	 Liechtenstein	394	2015 est.	CIA	38,020	2019	10,352	1,181
150	 Madagascar	2,117	2018 est.	EIA	26,969,310	2019	78	9
151	 Burkina Faso	1,760	2018 est.	EIA	20,321,380	2019	87	10
152	 Niger	1,586	2018 est.	EIA	23,310,720	2019	68	8
153	 Togo	1,251	2018 est.	EIA	8,082,370	2019	155	18
154	 Benin	1,188	2018 est.	EIA	11,801,150	2019	101	11
155	 Curacao	900	2008 est.	EIA	157,540	2019	5,713	652
156	 Congo, Republic of the	2,018	2018 est.	EIA	5,380,510	2019	375	43
157	 Guinea	1,983	2018 est.	EIA	12,771,250	2019	155	18
158	 Barbados	990	2018 est.	EIA	287,020	2019	3,450	394
159	 Mauritania	882	2018 est.	EIA	4,525,700	2019	195	22
160	 Lesotho	902	2018 est.	EIA	2,125,270	2019	424	48
